Club_ID,Club_Name,Foundation_Date,League_ID,Reputation,President_Name,Manager_ID
1,Manchester City,1880,1,91,Sheikh Mansour,1
2,Paris Saint-Germain,1970,2,88,Nasser Ghanim El-Khelaifi,2
3,Barcelona,1899,3,90,Joan Laporta,3
4,Liverpool,1892,1,90,Thomas Werner,4
5,R. Madrid,1902,3,92,Florentino Perez,5
6,Tottenham Hotspur,1882,1,81,Daniel Levy,6
7,FC Bayern Munchen,1900,4,91,Herbert Hainer,7
8,A. Madrid,1903,3,86,Enrique Cerezo,8
9,Chelsea,1905,1,88,Todd Boehly,9
10,Manchester UFC,1878,1,84,Avram Glazer,10
11,AC Milan,1899,5,83,Gerry Cardinale,11
12,Arsenal,1886,1,81,Stan Kroenke,12
13,S.S. Lazio,1900,5,78,Claudio Lotito,13
14,West Ham United,1895,1,70,David Sullivan,14
15,FC Internazionale Milano,1908,5,85,Zhang Jindong,15
16,Associazione Sportiva Roma,1927,5,81,Dan Friedkin,16
17,Juventus,1897,5,87,Andrea Angelli,17
18,Borussia Dortmund,1909,4,84,Hans-Joachim Watzke,18
19,Valencia,1919,3,76,Peter Lim,19
20,FC Porto,1893,6,83,,
21,RB Leipzig,2009,4,75,Oliver Mintzlaff,20
22,Real San Sebastian,1909,3,76,Jokin Aperribay,21
23,SL Benfica,1904,6,82,,
24,AFC Ajax,1900,7,79,,
25,Parthenope,1926,5,80,Aurelio de Laurentiis,22
26,Real Hispalis,1907,3,73,Angel Haro,23
27,Villarreal,1923,3,79,Fernando Roig,24
28,Wolverhampton Wanderers,1877,1,66,Guo Guangchang,25
29,Sevilla,1890,3,80,Jose Castro,26
30,Sporting Clube de Portugal,1906,6,72,,
31,A. Bilbao,1898,3,75,Jon Uriarte,27
32,Vigo,1923,3,69,Carlos Mourino,28
33,Aston Villa,1874,1,69,Nassef Sawiris,29
34,Borussia Monchengladbach,1900,4,76,Rolf Konigs,30
35,Leicester City,1884,1,73,Vichai Srivaddhanaprabha,31
36,Bayer 04 Leverkusen,1904,4,77,Fernando Carro,32
37,Brighton & Hove Albion,1901,1,66,Tony Bloom,33
38,Everton,1878,1,67,Farhad Moshiri,34
39,Fulham,1879,1,64,Shahid Khan,35
40,Newcastle United,1892,1,74,Yasir-Al Rumayyan,36
41,PSV Eindhoven,1913,7,73,,
42,Southampton,1885,1,66,Rasmus Ankersen,37
43,AS Monaco,1924,2,75,Dmitry Rybolovlev,38
44,Atalanta,1907,5,74,Stephen Pagliuca,39
45,Olympique de Marseille,1899,2,78,Frank McCourt,40
46,AFC Bournemouth,1899,1,63,Maxim Demin,41
47,Bologna FC 1909,1909,5,66,Joey Saputo,42
48,Crystal Palace,1905,1,66,Steve Parish,43
49,Houston Dynamo FC,2006,8,61,,
50,Olympiacos SF Piraeus,1925,9,69,,
51,Sporting Clube de Braga,1921,6,67,,
52,Toronto FC,2005,8,66,,
53,U.S. Sassuolo,1920,5,68,Marco Squinzi,44
54,ACF Fiorentina,1926,5,73,Rocco Commisso,45
55,Los Angeles Football Club,2018,8,69,,
56,SEP,1914,10,78,,
57,Shanghai Port,2005,11,56,,
58,ATP,1924,10,70,,
59,Club Nacional de Football,1899,12,62,,
60,Eintracht Frankfurt,1899,4,73,Philip Holzer,46
61,Stade Rennais FC,1901,2,73,Olivier Cloarec,47
62,Trabzonspor A.S.,1967,13,66,Ahmet Ali Agaoglu,48
63,TSG Hoffenheim,1899,4,74,Dietmar Hopp,49
64,FLA,1895,10,78,,
65,Galatasaray A.S.,1905,13,69,Dursun Aydin Ozbek,50
66,Zenit St. Petersburg,1925,14,77,,
67,ATM,1908,10,76,,
68,Espanyol,1900,3,69,Chen Yansheng,51
69,Levante,1909,15,66,,
