League_Name,League_Tier,Country_ID
Premier League,1,6
Ligue 1,1,2
LaLiga,1,13
Bundesliga,1,10
Serie A,1,19
Primeira Liga,1,12
Eredivisie,1,7
MLS,1,36
Super League,1,44
Campeonato Brasileiro Serie A,1,11
Chinese Super League,1,97
Primera Division,1,17
Super Lig,1,38
Premier Liga,1,54
LaLiga2,2,13
UAE Pro League,1,82
Saudi Pro League,1,73
Liga MX,1,42
EFL Championship League,2,6
Stars League,1,72
SuperSport HNL,1,9
Jupiler Pro League,1,1
cinch Premiership,1,27
Superliga,1,23
Premyer Liha,1,32
Swiss Football League,1,34
Liga Profesional,1,8
Austrian Bundesliga,1,20
Primera Division de Chile,1,57
Categoria Primera A,1,18
Paraguay Primera Division,1,63
Eliteserien,1,5
Super Liga,1,21
Campeonato Brasileiro Serie B,2,11
Chance Liga,1,43
Egyptian Premier League,1,4
K League 1,1,14
efbet Liga,1,87
Ligat Ha'al,1,85
Serie B,2,19
2.Bundesliga,2,10
OTP Bank Liga,1,62
1.SNL,1,15
Ecuador Serie A,1,59
Ligue 2,2,2
Betway Premiership,1,96
Cyprus League,1,104
Fortuna Liga,1,22
S-League,1,137
Allsvenskan,1,40
A-League,1,77
Liga Promerica,1,28
Premyer Liqasi,1,122
Ekstraklasa,1,3
Serie C,3,19
Challenger Pro League,2,1
RFEF League,3,13
Tunisia League,1,74
Liga Apertura,1,55
BRI Liga 1,1,138
3.Liga,3,10
Botola Pro 1,1,26
Federal C(Argentina),5,8
Trcezia Liga,4,3
Premium Liga,1,109
National League(Russia),2,54
1.Lig,2,38
Liga Venezolana,1,75
Liga de Futbol,1,136
Liga I,1,80
EFL League One,3,6
Thai League,1,125
Primera Nacional,2,8
Bolivia Division,1,99
Premer Ligasi,1,118
Liga Super Malaysia,1,139
Unterliga OST,4,20
Hessenliga,5,10
Iraq Premier League,1,105
Segunda Division,2,17
Liga Guate,1,117
Liga MX 2,2,42
Indian Super League,1,140
Regionalliga ,4,10
Ykkonen,2,66
O'zbekiston Superligasi,1,90
Panama Division,1,110
Kuwait League,1,133
Categoria Primera B,2,18
Iran Pro League,1,39
Veikkausliiga,1,66
NPSL,2,36
Eerste Divisie,2,7
Liga Portugal 2,2,12
Nigerian League,1,31
Erovnuli Liga,1,41
Virsliga,1,132
Fudbalska Liga,1,45
Ghana League,1,37
Syrian League,1,95
Senegal League,1,16
Pepsi Max Deild,1,100
EFL League Two,4,6
Superettan,2,40
Ivory Coast League,1,33
Mali League,1,29
Cameroon League,1,30
BKT Superliga,1,49
1.MFL,1,61
Bosnian League,1,46
Gambia League,1,83
Zimbabwe League,1,79
League of Ireland,1,78
Jordan League,1,135
Bahrain League,1,141
3.Lig,4,38
J League 1,1,50
Algerian League,1,25
Championnat National,3,2
Moldovian League,1,119
Srbije Liga,2,21
2.Lig,3,38
Canadian Premier League,1,24
