Manager_Name,Attacking,Defending,Fitness,Mental,Tactical,Technical,WorkingwithYoungsters,BirthDate
Pep Guardiola,18,13,13,15,18,18,16,1971-01-18
Christophe Galtier,13,16,11,14,14,10,13,1966-08-26
Xavi,11,7,5,13,15,13,16,1980-01-25
Jurgen Kloop,17,15,17,18,14,17,17,1967-06-16
Carlo Ancelotti,11,16,4,17,11,13,12,1959-06-10
Antonio Conte,13,15,10,19,16,10,10,1969-07-31
Julien Nagelsmann,16,15,8,15,18,14,19,1987-07-23
Diego Simeone,12,16,6,19,16,12,14,1970-04-28
Graham Potter,12,9,8,15,18,12,16,1975-05-20
Erik ten Hag,14,15,7,14,15,14,18,1970-02-02
Stefano Pioli,16,15,8,16,15,15,12,1965-10-20
Mikel Arteta,13,10,7,15,15,15,14,1982-03-26
Maurizio Sarri,18,14,13,14,15,13,14,1959-01-10
David Moyes,11,18,10,18,14,10,15,1963-04-25
Simone Inzaghi,16,10,2,14,14,8,5,1976-04-05
Jose Mourinho,9,19,11,18,18,8,9,1963-01-26
Massimiliano Allegri,12,18,7,15,11,15,8,1967-08-11
Edin Terzic,11,11,4,14,14,11,18,1982-10-30
Gennaro Gattuso,13,11,9,16,13,7,12,1978-01-09
Marco Rose,12,15,8,16,13,12,17,1976-09-11
Imanol Alguacil,10,11,8,13,14,12,18,1971-07-04
Luciano Spalletti,14,14,11,13,17,15,10,1959-03-07
Manuel Pellegrini,17,10,14,11,10,15,13,1953-09-16
Quique Setien,14,9,8,11,16,14,14,1958-09-27
Julen Lopetegui,14,14,10,16,15,16,14,1966-08-28
Jorge Sampaoli,15,8,13,15,13,14,8,1960-03-13
Ernesto Valverde,15,14,13,14,14,15,13,1964-02-09
Carlos Carvalhal,11,14,9,12,8,11,12,1965-12-04
Unai Emery,13,14,14,13,15,13,15,1971-11-03
Daniel Farke,12,12,8,11,14,14,20,1976-10-30
Brendan Rodgers,15,13,11,15,16,14,16,1973-01-26
Xabi Alonso,9,9,7,9,9,9,15,1981-11-25
Roberto de Zerbi,17,8,8,13,12,14,13,1979-06-06
Frank Lampard,14,2,7,13,11,13,16,1978-06-20
Marco Silva,14,12,12,14,14,11,11,1977-07-12
Eddie Howe,16,13,14,15,12,10,14,1977-11-29
Nathan Jones,12,13,16,13,12,10,14,1973-05-28
Phillipe Clement,7,15,12,13,15,7,14,1974-03-22
Gian Piero Gasperini,17,14,14,15,16,15,13,1958-01-26
Igor Tudor,7,19,7,13,13,8,13,1978-04-16
Gary O'Neil,10,10,3,14,11,14,11,1983-05-18
Thiago Motta,10,12,11,11,12,12,12,1982-08-28
Patrick Vieira,12,15,6,12,14,12,12,1976-06-23
