Player_ID,Player_Name,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,FirstTouch,FreeKickTaking,Heading,LongShots,LongThrows,Marking,PassingSkill,PenaltyTaking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,OffTheBall,Positioning,Teamwork,WorkRate,Acceleration,Agility,Balance,JumpingReach,NaturalFitness,Pace,Stamina,Strength,Stability,Height,LeftFoot,RightFoot,PlayerValue,Salary,RentalClub,BirthDate
1,Kevin De Bruyne,31,189,189,1,1,14,19,15,16,16,17,6,17,7,9,18,16,9,18,12,14,13,15,15,20,18,17,16,13,14,11,14,15,15,13,14,10,16,14,17,13,15,181,16,20,347975206,394372,,1991-06-28
2,Kylian Mbappe,23,188,197,2,2,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,15,18,13,18,3,10,10,20,16,15,8,15,20,14,11,15,178,10,20,347975206,1035616,,1998-12-20
3,Robert Lewandowski,33,186,190,3,3,3,8,13,19,18,15,17,12,3,7,13,20,7,16,15,19,16,17,17,13,17,20,14,15,19,7,12,12,14,13,19,15,20,14,18,16,18,185,13,20,347975206,345204,,1988-08-21
4,Mohamed Salah,30,185,187,4,4,12,14,17,17,17,12,10,13,6,7,15,17,7,17,11,16,11,15,15,17,15,18,15,11,18,9,15,16,18,16,18,8,17,18,15,15,15,175,20,8,347975206,405971,,1992-06-15
5,Erling Haaland,22,185,195,5,1,7,10,14,18,16,13,15,13,5,6,13,17,7,15,13,18,15,18,15,14,13,20,16,13,18,7,13,13,17,16,17,18,19,19,14,17,17,195,20,11,347975206,394372,,2000-07-21
6,Karim Benzema,34,185,185,2,5,10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,18,17,18,17,11,15,12,16,14,15,14,15,11,11,15,14,14,14,185,17,20,102955257,321918,,1987-12-19
7,Harry Kane,28,183,185,6,6,9,15,14,19,15,10,15,15,6,10,18,20,11,16,11,15,14,18,15,18,18,19,12,15,16,12,18,16,12,12,14,13,16,14,16,15,17,188,19,20,347975206,231983,,1993-07-28
8,Virgil van Dijk,31,181,183,7,4,3,5,13,8,17,12,18,7,8,17,16,7,17,16,17,17,15,17,16,14,17,16,12,17,8,17,14,12,15,12,15,17,17,16,14,17,18,193,9,20,347975206,278380,,1991-07-08
9,Thibaut Courtois,30,181,181,1,5,6,1,10,2,10,9,10,1,2,3,13,5,3,12,8,15,15,12,16,9,16,16,14,13,3,16,14,11,12,13,14,18,12,11,8,14,16,199,20,9,255605643,296047,,1992-05-11
10,Lionel Messi,35,180,200,8,2,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,17,10,16,11,20,18,20,20,14,13,5,12,7,15,15,18,6,14,15,12,9,16,169,20,12,43973205,776712,,1987-06-24
11,Luka Modric,36,179,180,9,5,16,16,17,9,20,13,8,14,7,8,19,14,11,19,12,17,14,18,18,19,18,17,13,14,15,15,17,16,12,14,13,7,13,13,13,8,15,172,13,20,30331138,321918,,1985-09-09
12,Joshua Kimmich,27,178,183,10,7,15,17,12,11,16,15,11,14,12,13,18,11,12,16,15,15,15,17,13,18,16,20,13,16,12,13,17,20,12,12,13,10,20,12,20,11,18,177,12,20,120657610,345204,,1995-02-08
13,Alisson,29,177,180,11,4,3,3,10,3,15,2,7,3,3,2,14,5,2,14,12,17,14,17,15,11,16,19,13,11,11,18,11,17,13,16,16,13,17,13,12,15,17,191,9,20,298419213,220384,,1992-10-02
14,Neymar,30,177,190,11,2,16,16,20,16,18,17,8,15,4,4,17,20,5,20,10,15,14,17,10,17,14,16,20,14,16,4,8,9,15,16,14,6,14,15,13,11,12,175,14,20,347975206,939648,,1992-02-05
15,Bernardo Silva,27,176,180,12,1,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,17,15,16,17,12,17,13,16,20,15,19,16,7,17,14,17,9,16,173,20,8,347975206,208785,,1994-08-10
16,Manuel Neuer,36,175,193,10,7,2,6,12,7,12,8,11,7,12,9,15,13,11,12,13,16,15,20,15,15,15,18,12,18,13,16,13,16,11,13,14,17,19,11,12,16,17,193,12,20,347975206,345204,,1986-03-27
17,Ederson,28,175,180,11,1,5,2,11,3,14,8,9,12,2,1,18,12,3,17,12,17,18,20,16,17,15,16,2,7,15,13,14,13,14,13,13,13,15,13,14,13,16,188,20,10,325655872,208785,,1993-08-17
18,Rodri,26,175,175,13,1,7,8,13,9,15,8,13,14,8,12,15,8,17,14,13,18,15,17,16,14,18,13,9,11,13,17,16,16,14,13,12,17,16,13,17,16,17,191,13,20,347975206,185587,,1996-06-22
19,Marc-Andre ter Stegen,30,174,183,10,3,6,3,3,3,13,9,7,1,3,3,17,4,2,14,11,17,15,18,15,9,13,18,5,14,1,12,14,10,14,14,16,16,15,11,13,15,15,187,16,20,170775003,164999,,1992-04-30
20,Ruben Dias,25,174,177,12,1,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,13,15,18,8,17,8,17,16,17,13,13,12,16,18,13,18,16,18,186,12,20,347975206,202986,,1997-05-14
21,Vinicius Junior,22,174,184,11,5,7,13,18,16,13,8,11,12,4,3,14,12,6,15,15,14,15,15,13,14,15,18,16,12,16,9,13,15,19,16,14,8,15,17,14,12,13,177,12,20,281778742,215753,,2000-07-12
