Player,PositionInfo
1,11
1,12
1,13
2,11
2,13
2,14
3,14
4,11
4,13
4,14
5,14
6,14
7,14
8,3
9,1
10,12
10,13
10,14
11,9
12,4
12,6
12,9
13,1
14,8
14,11
14,12
15,10
15,12
15,13
16,1
17,1
18,6
19,1
20,3
21,11
21,13
22,11
22,14
23,1
24,11
24,12
24,13
24,14
25,12
25,13
26,6
26,9
26,12
27,10
27,12
27,13
28,3
29,8
29,10
29,11
29,13
30,3
31,6
31,9
32,12
32,14
33,2
33,4
33,5
33,7
34,11
35,11
35,12
35,13
36,9
36,12
37,3
38,6
38,9
39,11
39,12
39,13
40,1
41,11
41,12
41,13
42,6
42,9
42,12
43,5
43,8
43,10
43,11
43,13
44,4
44,6
44,7
45,6
45,9
46,6
46,9
47,6
47,9
47,12
48,4
48,7
49,6
49,9
50,3
50,6
51,2
51,3
51,5
51,9
52,11
52,14
53,6
53,9
54,11
54,12
54,13
55,11
55,12
55,13
55,14
56,11
56,13
56,14
57,3
57,4
58,8
58,10
58,11
58,13
59,14
60,11
60,13
61,1
62,9
62,12
63,3
63,6
63,9
64,1
65,11
65,13
66,3
67,14
68,3
68,6
68,9
69,3
70,6
70,9
71,6
71,9
71,12
72,3
73,9
73,12
74,12
74,13
74,14
75,3
76,3
77,11
77,13
77,14
78,2
78,5
79,9
80,6
80,9
81,11
81,12
81,13
82,8
82,9
83,4
83,7
83,9
84,8
84,10
84,11
84,13
85,3
86,4
86,7
86,10
87,3
88,14
89,11
89,12
89,13
89,14
90,3
91,2
91,5
92,11
92,12
92,13
93,11
93,12
93,13
94,2
94,5
95,3
96,9
97,2
97,5
97,8
98,11
98,12
98,14
99,2
99,5
100,3
101,3
102,11
102,13
102,14
103,14
104,1
105,11
105,12
105,13
106,11
106,12
106,13
107,3
108,6
108,9
109,6
109,8
109,9
109,10
110,11
110,12
110,13
110,14
111,6
111,9
112,3
113,14
114,9
114,12
115,3
116,10
116,11
116,12
116,13
116,14
117,6
117,9
118,2
118,5
118,6
118,9
119,6
119,9
120,8
120,10
120,11
120,13
121,3
122,2
122,5
123,11
123,12
123,13
124,5
124,8
124,11
125,3
125,4
126,10
126,11
126,12
126,13
126,14
127,7
127,6
127,9
127,10
127,12
128,6
128,9
128,12
129,3
129,6
129,9
130,3
131,8
131,10
131,11
131,13
132,6
132,9
133,2
133,3
134,11
134,12
134,13
135,11
135,12
135,13
135,14
136,6
136,9
137,8
137,10
137,11
137,13
138,7
138,6
138,9
138,10
138,12
138,13
139,6
139,9
139,12
140,9
140,12
141,6
141,9
142,11
142,12
143,11
143,12
143,13
144,3
145,6
145,9
145,12
146,1
147,11
147,12
147,13
148,11
148,13
148,14
149,2
149,5
150,3
150,4
151,11
151,12
151,13
152,3
153,6
153,9
154,11
154,12
154,13
155,11
155,14
156,12
156,13
156,14
157,13
157,14
158,11
158,12
158,13
158,14
159,14
160,3
161,14
162,8
162,11
162,12
163,1
164,2
164,3
164,5
164,8
165,4
165,7
165,10
166,8
166,9
166,11
166,12
167,11
167,12
167,14
168,11
168,12
168,13
169,10
169,12
169,13
170,1
171,14
172,14
173,11
173,12
173,13
174,2
174,3
174,6
175,6
175,9
175,11
175,12
176,3
177,11
177,12
177,13
178,6
178,9
179,2
179,3
179,4
180,11
180,12
180,13
180,14
181,9
182,9
182,12
183,7
183,11
183,13
184,11
184,12
184,13
185,3
186,3
187,6
187,9
188,11
188,12
188,13
189,6
189,9
190,14
191,10
191,11
191,12
191,13
191,14
192,3
193,14
194,8
194,11
194,12
194,14
195,14
196,3
196,4
196,7
197,3
198,1
199,6
199,9
200,4
200,7
200,10
200,13
201,6
201,9
202,3
203,2
203,5
204,6
204,9
205,2
205,4
205,7
206,4
206,7
206,10
207,11
207,13
207,14
208,11
208,12
208,13
209,11
209,13
209,14
210,4
210,7
211,11
211,12
211,13
212,6
212,9
213,11
213,13
214,6
214,9
215,3
216,3
217,14
218,11
218,12
218,13
219,2
219,3
219,5
220,14
221,14
222,3
223,3
224,3
225,3
226,3
227,2
227,3
227,4
228,11
228,14
229,14
230,14
231,14
232,11
232,12
232,13
233,8
233,10
233,11
233,13
234,8
234,10
234,11
234,13
235,3
235,6
235,9
236,1
237,6
237,9
238,1
239,12
239,13
240,3
241,8
241,10
241,11
241,13
242,14
243,11
243,12
243,13
244,11
244,13
244,14
245,6
245,9
246,14
247,1
248,6
248,9
249,9
250,2
250,3
250,4
251,14
252,6
252,9
253,11
253,13
254,11
254,12
254,13
255,14
256,3
256,6
257,6
257,9
258,6
258,9
259,1
260,2
260,5
260,8
260,11
261,1
262,6
262,9
263,11
263,12
263,13
264,4
264,7
264,10
265,3
266,11
266,12
266,13
267,6
267,9
268,14
269,9
269,12
270,5
270,8
270,9
270,11
270,12
271,6
271,9
272,3
272,4
273,4
273,7
274,3
274,4
274,7
274,6
275,1
276,6
276,9
277,11
277,13
277,14
278,2
278,5
278,9
279,1
280,8
280,11
280,12
281,6
281,9
282,10
282,12
282,13
283,2
283,5
284,6
284,9
285,3
286,2
286,5
286,8
287,4
287,7
287,6
287,9
288,3
289,11
289,13
290,11
290,12
290,13
291,11
291,12
291,13
292,11
292,14
293,6
293,9
294,6
294,9
295,2
295,5
296,6
296,9
297,3
298,3
299,3
299,4
300,2
300,3
300,4
300,5
300,7
301,11
301,13
301,14
302,3
303,14
304,9
304,12
305,3
306,10
306,12
306,13
307,9
307,12
308,2
308,3
308,4
308,5
308,7
309,11
309,12
309,13
310,9
310,10
311,11
311,13
312,5
312,8
312,11
313,3
314,3
315,10
315,12
315,13
316,11
316,13
316,14
317,11
317,12
317,13
317,14
318,14
319,12
319,13
320,1
321,11
321,12
321,13
322,11
322,14
323,10
323,12
323,13
324,3
325,6
325,9
326,11
326,13
326,14
327,14
328,8
328,11
328,12
329,4
329,7
330,9
330,12
330,14
331,11
331,14
332,11
332,13
332,14
333,2
333,3
333,5
333,6
333,9
334,11
334,12
334,13
335,3
335,4
336,2
336,5
336,8
337,1
338,2
338,5
339,6
339,9
340,9
340,12
341,6
341,9
342,3
343,11
343,13
343,14
344,14
345,9
345,12
345,14
346,6
346,8
346,9
347,2
347,5
348,1
349,2
349,5
349,8
350,6
350,9
351,4
351,7
351,10
351,13
352,3
353,11
353,12
354,6
354,9
355,11
355,12
355,13
355,14
356,1
357,14
358,12
358,14
359,13
359,14
360,10
360,12
360,13
361,2
361,4
361,5
361,7
362,11
362,13
363,8
363,11
363,12
364,3
365,3
365,4
366,9
366,12
367,11
367,12
367,13
368,6
368,9
368,10
369,1
370,11
370,14
371,14
372,14
373,6
373,9
374,6
374,9
375,9
375,10
376,11
376,12
376,13
376,14
377,3
378,6
378,9
379,6
379,9
380,2
380,5
380,8
381,11
381,12
381,14
382,6
382,9
383,8
383,10
383,11
383,13
384,11
384,12
384,13
385,6
385,9
386,3
387,6
387,8
387,9
387,10
388,9
388,12
388,14
389,4
389,7
389,10
390,3
391,12
391,13
391,14
392,6
392,9
393,2
393,5
393,8
394,1
395,3
396,3
397,13
397,14
398,6
398,9
398,10
399,1
400,6
400,9
401,2
401,4
401,7
401,6
401,9
401,10
402,11
402,12
402,14
403,2
403,3
403,5
403,8
404,2
404,4
404,5
404,7
404,8
404,10
405,6
405,9
405,12
406,3
407,1
408,11
408,14
409,9
409,12
410,14
411,6
411,9
412,6
412,9
413,6
413,9
413,10
414,1
415,11
415,12
415,13
416,6
416,9
417,11
417,12
417,13
418,3
418,4
419,2
419,4
419,5
419,7
419,10
420,3
421,4
421,7
422,6
422,9
423,8
423,11
423,12
424,4
424,7
424,10
424,13
425,10
425,12
425,13
426,6
426,9
427,6
427,9
428,6
428,9
429,2
429,4
429,7
430,6
430,9
430,8
430,12
431,1
432,9
432,12
433,14
434,6
434,9
435,14
436,3
436,4
436,6
437,11
437,12
437,13
438,5
438,8
438,10
438,11
438,12
438,13
439,2
439,3
439,5
439,11
440,6
440,9
441,11
441,14
442,2
442,5
442,8
443,3
443,6
443,9
444,9
444,12
445,6
445,9
446,3
447,3
448,3
449,2
449,5
449,8
450,6
450,9
451,11
451,12
451,13
452,6
452,9
452,12
453,1
454,9
454,12
455,3
455,6
455,9
456,1
457,8
457,11
457,12
458,6
458,9
458,12
459,11
459,12
459,13
460,6
460,9
461,14
462,6
462,9
463,1
464,2
464,5
464,8
465,2
465,5
466,1
467,11
467,13
468,14
469,3
470,6
470,9
471,11
471,12
471,13
472,2
472,3
473,11
473,13
473,14
474,2
474,5
474,8
474,11
475,11
475,13
476,8
476,11
476,12
477,6
478,2
478,3
478,5
478,6
479,2
479,3
480,11
480,12
480,13
480,14
481,7
481,10
481,13
482,10
482,12
482,13
483,1
484,6
484,9
485,14
486,6
486,9
486,12
487,10
487,11
487,12
487,13
487,14
488,4
488,7
489,9
489,12
490,14
491,6
491,9
492,1
493,6
493,9
493,11
493,12
493,13
494,9
495,3
496,6
496,9
497,3
497,4
497,6
498,1
499,14
500,9
500,12
501,14
502,6
502,9
503,2
503,5
503,8
504,2
504,3
504,4
504,5
504,7
505,12
505,14
506,8
506,11
506,12
507,2
507,4
507,5
507,7
507,6
507,9
508,11
508,13
509,3
510,2
510,3
511,9
511,11
511,12
511,14
512,4
512,7
512,10
513,6
513,9
514,8
514,11
514,12
515,4
515,7
516,3
516,6
517,2
517,5
517,8
518,8
518,11
518,12
519,6
519,9
520,3
521,1
522,10
522,12
522,13
523,3
524,8
524,10
524,11
524,13
525,6
525,9
526,6
526,9
527,14
528,8
528,10
528,11
528,13
529,6
529,9
530,1
531,6
531,9
531,12
532,3
532,4
532,7
533,1
534,6
534,9
534,10
535,9
536,11
536,12
536,13
537,1
538,2
538,5
538,8
539,12
539,13
539,14
540,9
540,12
540,14
541,12
542,1
543,11
543,13
544,11
544,12
544,13
545,6
545,9
546,4
546,7
547,10
547,12
547,13
548,8
548,10
548,11
548,13
549,3
550,9
550,12
551,3
552,1
553,2
553,4
553,5
553,7
553,10
554,4
554,7
554,10
554,13
555,11
555,14
556,2
556,4
556,5
556,7
557,3
558,6
558,9
558,12
559,11
559,14
560,3
561,2
561,3
561,4
561,5
561,7
561,8
561,10
562,13
562,14
563,1
564,6
564,9
565,11
565,12
565,14
566,4
566,7
566,13
567,11
567,12
567,13
567,14
568,9
568,12
569,6
569,9
570,3
570,4
571,1
572,6
572,9
573,3
573,4
574,3
575,14
576,11
576,14
577,12
577,14
578,14
579,11
579,12
579,13
580,1
581,6
581,9
582,1
583,11
583,12
583,13
584,1
585,2
585,5
585,8
586,3
587,5
587,7
587,8
587,10
587,11
587,13
588,7
588,9
588,10
588,12
589,14
590,11
590,12
590,13
590,14
591,14
592,13
592,14
593,2
593,3
593,5
594,14
595,2
595,5
595,6
595,9
596,6
596,9
597,8
597,11
597,12
598,6
598,9
598,12
599,9
599,12
600,11
600,12
600,13
601,1
602,12
602,13
602,14
603,11
603,13
603,14
604,4
604,7
604,10
605,11
605,13
606,2
606,3
607,14
608,6
608,9
609,9
610,2
610,3
610,5
611,3
611,6
612,6
612,9
613,11
613,12
613,13
614,2
614,5
615,8
615,11
615,12
616,1
617,6
617,9
618,3
618,6
619,8
619,11
619,14
620,8
620,11
620,12
621,8
621,10
621,11
621,13
622,6
622,9
623,14
624,11
624,12
624,13
625,9
625,12
626,11
626,12
626,13
627,4
627,7
628,11
628,12
628,13
629,2
629,5
629,8
629,11
630,10
630,12
630,13
631,8
631,10
631,11
631,13
632,3
633,8
633,11
633,12
634,3
634,4
635,6
635,9
636,2
636,3
636,5
637,2
637,5
637,8
637,11
637,13
638,6
638,9
639,2
639,5
640,4
640,7
641,6
641,9
642,10
642,11
642,12
642,13
642,14
643,4
643,7
643,9
643,10
643,13
644,11
644,13
644,14
645,3
646,1
647,6
647,8
647,9
648,11
648,13
648,14
649,3
650,4
650,7
651,4
651,7
651,10
652,9
652,12
653,3
654,2
654,3
655,14
656,9
656,12
657,11
657,12
657,14
658,8
658,10
658,11
658,13
659,8
659,11
659,12
660,14
661,2
661,3
662,6
662,9
663,2
663,5
663,8
664,2
664,4
664,5
664,7
665,9
665,12
666,14
667,12
667,13
668,6
668,9
669,6
669,9
670,8
670,11
670,12
671,1
672,11
672,12
672,13
673,2
673,5
673,8
674,4
674,7
674,6
674,9
674,10
675,14
676,11
676,13
677,1
678,8
678,11
678,12
679,1
680,13
680,14
681,11
681,13
681,14
682,6
682,9
683,1
684,1
685,1
686,10
686,12
686,13
687,6
687,9
688,6
688,9
688,10
689,3
690,1
691,11
691,12
691,13
692,6
692,9
692,10
693,8
693,10
693,11
693,13
694,1
695,1
696,1
697,11
697,12
697,13
698,1
699,11
699,12
699,13
700,13
700,14
701,3
702,9
703,14
704,1
705,14
706,14
707,11
707,12
707,13
708,3
708,4
708,7
709,11
709,12
709,13
710,2
710,5
711,9
712,1
713,1
714,9
715,9
715,12
716,3
717,11
717,12
717,13
718,14
719,4
719,7
720,3
721,14
722,11
722,12
722,13
723,6
723,9
724,11
724,12
724,13
725,8
725,10
725,11
725,13
726,3
727,6
727,9
728,11
728,12
729,9
730,3
731,3
731,6
731,9
732,2
732,4
732,7
733,3
734,3
735,1
736,8
736,10
736,11
736,13
737,2
737,5
737,8
738,4
738,7
739,11
739,12
739,13
740,1
741,9
741,12
742,6
742,9
743,8
743,10
743,11
743,13
744,3
745,3
745,6
746,11
746,13
746,14
747,6
747,9
748,6
748,9
749,1
750,11
750,12
750,13
751,11
751,12
751,13
752,6
752,9
753,11
753,12
753,13
753,14
754,6
754,9
755,8
755,10
755,11
755,13
756,2
756,4
756,7
757,3
757,6
758,11
758,14
759,1
760,11
760,13
760,14
761,3
761,4
762,1
763,14
764,11
764,13
764,14
765,8
765,10
765,11
765,13
766,11
766,13
766,14
767,11
767,14
768,11
768,13
769,11
769,12
769,13
770,3
771,11
771,12
772,9
773,11
773,13
774,2
774,5
775,6
775,9
775,10
776,11
776,12
776,13
776,14
777,6
777,9
777,10
778,9
779,11
779,12
779,13
779,14
780,8
780,10
780,11
780,13
781,14
782,5
782,7
782,8
782,10
782,13
783,3
784,11
784,12
784,13
784,14
785,3
786,2
786,5
787,2
787,4
787,5
787,7
788,6
788,9
789,2
789,5
790,1
791,11
791,12
791,13
792,14
793,14
794,6
794,9
795,3
795,4
795,7
796,2
796,3
797,3
798,3
799,6
799,9
800,13
800,14
801,2
801,3
802,8
802,10
802,11
802,13
803,8
803,10
803,11
803,13
804,11
804,13
804,14
805,2
805,3
805,4
806,2
806,5
806,8
806,11
806,13
807,2
807,4
808,6
808,9
809,8
809,10
809,11
809,13
810,4
810,7
811,3
811,4
812,11
812,13
812,14
813,2
813,5
814,3
814,4
814,6
815,3
816,4
816,7
817,2
817,4
817,5
817,7
818,10
818,12
818,13
819,4
819,7
819,10
820,11
820,12
820,13
821,9
821,12
822,6
822,9
823,8
823,10
823,11
823,13
824,6
824,9
825,13
825,14
826,11
826,14
827,1
828,5
828,7
828,8
828,10
828,11
828,13
829,11
829,12
829,13
829,14
830,1
831,3
832,11
832,12
832,13
833,1
834,3
835,12
836,1
837,12
837,13
838,1
839,1
840,3
841,3
842,1
843,6
843,9
843,12
844,3
844,4
844,7
845,10
845,12
845,13
846,14
847,1
848,11
848,13
849,11
849,12
849,13
850,1
851,3
852,11
852,12
852,13
852,14
853,6
853,9
854,2
854,5
854,8
855,1
856,2
856,4
856,8
856,9
856,10
856,11
856,13
857,9
857,12
858,4
858,6
858,9
859,1
860,6
860,9
861,4
862,1
863,8
863,9
863,11
863,12
863,14
864,3
865,14
866,2
866,3
867,4
867,7
868,6
868,9
869,11
869,12
869,13
870,8
870,11
870,12
871,2
871,3
872,6
872,9
873,1
874,13
874,14
875,4
875,10
875,11
875,13
875,14
876,2
876,3
877,1
878,4
878,7
879,9
880,4
880,7
880,10
880,13
881,10
881,12
881,13
882,14
883,1
884,14
885,3
885,4
886,3
887,6
887,9
888,6
888,9
889,11
890,6
890,9
891,4
891,7
892,6
892,9
893,1
894,1
895,1
896,9
896,12
897,11
897,13
897,14
898,3
899,11
899,12
899,13
899,14
900,2
900,5
